time,Temp1+1,Temp2+1,Temp3+1,Temp4+1,Temp5+1,Temp6+1,Temp7+1,Temp8+1,Temp9+1,Temp10+1,cond1_off,c1_16h,c1_16l,c1_23h,c1_23l,c1_30h,c1_30l,cond2_off,c2_16h,c2_16l,c2_23h,c2_23l,c2_30h,c2_30l
11.06.2019 16:11,30,28,29,28,24,25,26,28,28,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11.06.2019 16:31,29,28,28,27,28,25,25,25,27,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11.06.2019 16:51,28,27,27,27,24,25,25,24,25,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11.06.2019 17:11,26,27,27,25,24,27,24,25,23,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11.06.2019 17:31,24,25,24,25,24,24,24,23,25,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11.06.2019 17:51,26,26,27,27,27,25,25,27,26,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11.06.2019 18:11,24,26,24,25,22,23,24,25,24,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11.06.2019 18:31,25,26,25,24,25,26,24,25,26,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11.06.2019 18:51,26,25,24,26,25,24,24,28,28,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11.06.2019 19:11,26,27,26,27,26,25,24,26,25,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0
